Title,Excerpt,Category
"FIRS Can Collect VAT from Lagos Hotel Owners, Appeal Court Rules","The Court of Appeal sitting in Lagos has upheld the appeal filed by the Federal Inland Revenue Service (FIRS), against",business
NAFDAC Targets 70% Reduction of Nigeria’s Pharmaceutical Imports by 2025,"As part of efforts to achieve drug security in Nigeria, the National Agency for Food and Drug Administration and Control",health
US Open Final: Medvedev Ends Djokovic’s Calender Grand Slam Bid,A game from the end of his bid for what would have been the first calendar-year Grand Slam in men’s,sports
Disney Focuses More on Streaming Amid Cinema Closures,The Walt Disney Company is reorganizing its media and entertainment businesses amid the economic turmoil caused by the coronavirus pandemic.,entertainment
"Bad Leadership Has Turned Nigeria to Land of Bitterness and Sadness, Obasanjo Laments",Former Nigerian President Olusegun Obasanjo on Thursday expressed worry over the state of the nation and blamed bad leadership for,politics
Nigeria: Capital Importation Falls 54% in Q2 2021,"The total value of capital importation into Nigeria has fallen to $875.62 million in the second quarter (Q2) of 2021,",business
Tokyo 2020: Nigeria Sports Minister Takes Responsibility for Athletes’ Anti-doping Violations,"Nigeria’s Minister of Sports, Sunday Dare, has apologised for the embarrassment the West African country suffered at the Tokyo Olympics that",sports
Nigerian Forward Iheanacho Named Premier League Player of the Month for March,Nigeria and Leicester City striker Kelechi Iheanacho has been named March’s Premier League player of the month. The 24-year-old scored,sports
"APC Primary: With You, Everything will Work, Gombe Governor Tells Amaechi, as Buratai Woos Borno Governor, Delegates for Ex-Minister","Gombe State Governor, Alhaji Inuwa Yahaya, weekend, said with the former Minister of Transportation, Chibuike Rotimi Amaechi, as President, Nigeria",politics
Rashford ‘Won’t Apologise’ For Who He Is after Receiving Racist Abuse,"England and Manchester United forward Marcus Rashford apologised for his penalty shootout miss but said he ""will never apologise for",sports
Brazil Legend Pele Leaves Hospital after Surgery,Brazil legend Pele has been released from hospital after undergoing surgery for a colon tumour. The 80-year-old had the operation,sports
Trump Rejects Democrats Request to Testify at Impeachment Trial,"US House Democrats on Thursday asked former President Donald Trump to testify under oath for his Senate impeachment trial, challenging",politics
Uefa Begins Disciplinary Proceedings Against English FA Over Euros Final Chaos at Wembley,UEFA have charged England's Football Association following the chaotic scenes at Wembley in Sunday’s Euro 2020 final. England supporters without,sports
Buzzfeed Acquires HuffPost from Verizon Wireless,"HuffPost has a new owner, with its current parent company Verizon Media reaching an agreement to sell the site to",tech
Fireboy DML Announces ‘The Fire Concert’ for January 2022,Multiple award-winning Aftobeats artiste Fireboy DML has announced his first ever headline concert tagged “The Fire Concert”. The concert is,entertainment
Nike Says It Split with Neymar Over Sexual Assault Investigation,"US sportswear giant Nike says it stopped working with Brazilian footballer Neymar because he ""refused to co-operate in a good",sports
"117,000 Jobs Lost in Nigeria’s Textile Industry in 26 Years, Says Textile Association","The Nigerian Textile Manufacturers Association (NTMA) has revealed that over 117,000 jobs in the nation's textile industry have been lost",business
"US Police Warn of Plot to Breach Capitol, House Scraps Thursday Session","Security has been ramped up at the US Capitol in response to ""a possible plot to breach"" the building on",politics
Covid-19: Chinese City Plans Nine Million Tests in Five Days,The Chinese city of Qingdao is testing its entire population of nine million people for Covid-19 over a period of,health
Scarlett Johansson Sues Disney Over ‘Black Widow’ Streaming Release,"Black Widow has a new enemy: the Walt Disney Co. Scarlett Johansson, star of the latest Marvel movie “Black Widow,”",business
"AfCFTA to Push Nigeria, Other African Economies to $29tn By 2050",The elimination of tariff following the introduction of the African Continental Free Trade Area Agreement (AfCFTA) is expected to boost,business
"Nigerian Airlines Blame Dollar Scarcity, Pandemic for Rising Fares","Airlines have attributed the skyrocketing airfares, which have elicited disaffection from travellers to the scarcity of dollars and the Covid-19",business
"Nigeria’s GDP Grows 5.01% in Q2 2021, Highest In Six Years","Nigeria's gross domestic product (GDP) has seen a sharp increase of 5.01 percent in the second quarter of 2021, the",business
Man City Fightback Against Aston Villa to Win Fourth Premier League Title in Five Years,Manchester City staged a stunning late comeback with three goals in five minutes to beat Aston Villa and win the,sports
Late Willock Equaliser Dents Tottenham Top Four Hopes at Newcastle,A late Joe Willock equaliser dented Tottenham Hotspur's top four hopes as they were held to a 2-2 draw at,sports
"Atiku’s Running Mate: Wike, Ekweremadu, Bruce Join Race as Stakeholders Consider Okowa, Okonjo-Iweala, Udom, Anyim","New scenarios have emerged, as permutations to find a running mate for the Peoples Democratic Party (PDP) presidential candidate, Atiku",politics
"American Mackenzie McDonald, ranked 211th, is Nadal’s next opponent",Thiem took the upper hand in his match against former world number three Cilic when he broke in the ninth,sports
"Mali’s Former Coup Leader Takes Power after President’s Arrest, Says He Wasn’t Consulted on Formation of New Government","Mali’s interim vice president, Colonel Assimi Goita has said that he seized power after the transitional president and prime minister",politics
Nigeria’s ‘Eyimofe’ to Screen at 50th anniversary of ND/NF Festival in New York,The Nigerian film 'Eyimofe (This Is My Desire)’ has been selected to screen at the 50th-anniversary edition of the New Directors/New,entertainment
Iran’s Sole Moderate Presidential Candidate Congratulates Hardliner Raisi for His Victory,"Iran's moderate presidential candidate congratulated rival hardline judge Ebrahim Raisi for winning the election, Iranian state media reported on Saturday,",politics
Buhari Says APC VP Candidate Shettima Will Live up to Expectations,"The Presidential Candidate, Bola Tinubu, APC's five South-west governors and House Speaker Femi Gbajabiamila were absent at the meeting.Read more",politics
Nigeria: Obasanjo Denies Endorsing South-East for Presidency,Former President Olusegun Obasanjo on Saturday refuted the claim that he had endorsed the South-east for the presidency ahead of,politics
Credit Suisse Chairman Quits Over Covid Breaches in Latest Setback,"Credit Suisse Chairman Antonio Horta-Osorio has resigned after flouting COVID-19 quarantine rules, the bank said on Monday, raising questions over",business
"Will Smith Apologizes to Chris Rock for Slap, Academy Weighs Action","Will Smith apologized to Chris Rock on Monday for slapping the comedian at Sunday night's Oscars ceremony, issuing a statement",entertainment
"Mourinho ‘Casts Players Aside Like They Don’t Exist’, Pogba Says in Damning Verdict on Former Boss","Paul Pogba has delivered a damning review of Jose Mourinho's man-management skills, explaining how the Tottenham manager exiles players without",sports
IMF: Nigeria Remains Largest Economy in Africa,"The International Monetary Fund (IMF) has said that Nigeria maintained its lead as the biggest economy in Africa, in terms",business
Tokyo 2020: Ten Nigerian Athletes Disqualified After Failing to Meet Testing Requirements,The Athletics Integrity Unit says ten Nigerian athletes have been disqualified from competing in the ongoing Tokyo 2020 Olympics. The,sports
Nigeria: Northern Group Asks Buhari to Endorse Osinbajo As Successor,The Coalition of Arewa Youth and Women has asked President Muhammadu Buhari to endorse Vice President Yemi Osinbajo as his,politics
Nigeria Qualify For U17 Afcon After 1-0 Victory Over Burkina Faso,Nigeria's Golden Eaglets have qualified to feature in the age-grade 2021 U17 Africa Cup of Nations tournament after edging the young Stallions of Burkina,sports
"Atiku’s Ideas on Security and Economy Interesting, Says UK High Commissioner to Nigeria",This came as Atiku sought increased collaboration between the governments of Nigeria and the UK in search solutions to issues,politics
Nigeria to Redistribute Unutilised Covid-19 Vaccine to States,Nigeria’s federal government may tinker with the COVID-19 vaccine deployment strategy by redistributing  unutilised doses out of the consignments sent,health
Vinicius Double Hands Madrid Advantage Over Liverpool in Champions League Quarter-final,Twenty-year-old Vinicius Junior scored a brace as Real Madrid defeated Liverpool 3-1 in the first leg of their Champions League,sports
Nigeria: Central Bank Chief Emefiele Inaugurates N15bn Rice Mill in Kano,"Governor of Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, on Tuesday inaugurated the ultra-modern 420 metric tons per day",business
"Fireboy, Wizkid Win Big at 2021 Headies Awards","Nigerian musician Fireboy won five awards at the 14th edition of the Headies, Nigeria’s premier music awards show. The musician",entertainment
Nigeria: APC Leaders in Search of Consensus Candidate at Convention,"With the February 26 National Convention of the ruling All Progressives Congress (APC) inching closer, leaders and stakeholders of the",politics
Nigeria: PDP Asks Supreme Court to Sack Zamfara Governor Matawalle Following Defection to APC,The Peoples Democratic Party (PDP) has launched a legal battle at the Supreme Court to reclaim its mandate from Zamfara,politics
"Nigeria: After Months of Rancour, APC Convenes to Endorse Abdullahi Adamu as Chairman","After several months of intense fighting, over 5,000 delegates from across Nigeria will on Saturday gather at the Eagle Square,",politics
Tottenham Sign Former Player Bale from Madrid,"Tottenham have re-signed Wales forward Gareth Bale from Spanish champions Real Madrid on a season-long loan. Bale, 31, left Spurs",sports
"Electoral Act Amendment: Nigeria Senate Cowers, Suspends Move to Override Buhari’s Veto",Despite the resolve and threat by many senators on Tuesday to overrule President Muhammadu Buhari’s veto of the Electoral Act,politics
"e-Naira Will Be Protected from Cybersecurity Risks, Central Bank Assures","The Central Bank of Nigeria (CBN) has said its proposed digital currency, known as e-Naira, will be treated as a",business
Nigerian Carrier Ibom Air Signs Agreement with Airbus At Dubai Airshow for Purchase Of 10 A220 Aircraft,"Ibom Air, the indigenous airline of the Akwa Ibom State Government of Nigeria, has placed an order for ten (10)",business
Nigeria’s Electoral Body Names Mu’azu Acting Chairman,Nigeria's Independent National Electoral Commission (INEC) has named Ahmed Mu’azu -a national commissioner - as the acting chairman of the,politics
World Bank Approves $700m for New Climate-Resilient Projects for Nigeria,The World Bank on Thursday announced its approval of a $700 million credit from its International Development Association (IDA) for,business
Facebook Freezes Venezuela President Maduro’s Page Over Covid Misinformation,Facebook has frozen Venezuelan President Nicolas Maduro’s page for violating policies against spreading misinformation about COVID-19 by promoting a remedy,tech
Capacity to Mobilise Voters Despite Security Challenges to Decide Anambra Poll,"With voter apathy likely in Saturday’s governorship election in Anambra State, a situation occasioned by the palpable insecurity in the",politics
Nigeria Senate Confirms EFCC Board Nominee Whose Resume Indicated He Started School Before Birth,The Nigerian Senate on Tuesday confirmed Yahaya Muhammad (Yobe) and four other nominees as board members and Secretary of the,politics
Ex-Ogun Governor Osoba Warns against Undermining Southern Governors’ Open Grazing Ban,"A former Governor of Ogun State, Chief Segun Osoba, Wednesday cautioned against undermining Southern governors’ decision banning open grazing.",politics
"Sadio Mane’s Winning Penalty Sends Senegal to World Cup, Salah’s Egypt Miss Out",Sadio Mane delivered the winning spot kick as Senegal edged Egypt 3-1 on penalties at the end of a tempestuous World,sports
"Nigeria Needs to Boost Food Reserves, Says Central Bank Governor Emefiele","The Governor of the Central Bank of Nigeria (CBN), Mr. Godwin Emefiele, on Tuesday warned against Nigeria repeating the mistakes",business
"Nigerian Activist Sowore Shot by Police, Senior Lawyer Falana Says","Prominent Nigerian activist and publisher of Sahara Reporters, Omoyele Sowore has been shot by the police in the nation's capital",politics
Monkeypox: Russia Urges WHO to Investigate US-Funded Laboratories in Nigeria,"Russia is urging the WHO leadership to investigate the activities of US-funded Nigerian laboratories in Abuja, Zaria and Lagos, Chief",health
Russian Racing Driver Kvyat Criticises ‘Unfair’ Sports Bans,"Former Russian Formula One driver Daniil Kvyat said Tuesday that ""sports should remain outside politics"" and decried the banning of",sports
Defending Champions Algeria Join Senegal in Qualifying for AFCON 2022,"The two finalists of the 2019 Africa Cup of Nations, Senegal and Algeria, have become the earliest qualifiers for the",sports
"Rising Oil Prices Will Create Problems for Nigeria, NNPC Boss Kyari Says","Group Managing Director of the Nigerian National Petroleum Corporation (NNPC), Mallam Mele Kyari, has warned that rather than being a",business
UK’s Centenarian Fundraiser Captain Moore Hospitalised With Covid-19,Prime Minister Boris Johnson was among a host of well-wishers across Britain willing record-breaking fundraiser Captain Tom Moore to pull,health
"Super Eagles Camp Bubbles Ahead of AFCON 2021 Qualifiers Against Benin, Lesotho",Nigeria’s senior men team’s camp is teeming with her superstars as the countdown begins for the final round of qualification,sports
"De Bruyne Signs ‘Straight-forward’ New Man City Deal, Club Looks to Extend Sterling’s Contract",Kevin De Bruyne has signed a new long-term contract at Manchester City that will keep him at the Etihad Stadium,sports
"S/Eagles Manager Rohr Unfazed by Critics, Insists Team Did Well in Friendlies",Despite the outrage in some quarters over the uncoordinated play of the Super Eagles in the two international friendlies against,sports
Mixing Covid Vaccines Increases Reports of Mild Side-effects,"Adults are more likely to report mild and moderate side-effects after mixing doses of the AstraZeneca and Pfizer Covid vaccines,",health
New Export Rule Leaves Tonnes of Cocoa Beans Trapped at Nigerian Ports,There are strong indications that Nigeria’s efforts to claw back some of the foreign-exchange earnings lost to falling oil prices,business
Nigeria FA to Investigate Penalty Shootout for Match Fixing,"A video circulated on social media showed a goalkeeper doing nothing to stop opposition penalties, while outfield players fired spot",sports
"Nigeria LNG Generates $108bn, Delivers 5,000 Cargoes in 21 Years","The Nigeria Liquefied Natural Gas (LNG) has delivered 5,000 cargoes to its customers around the world and generated $108 billion",business
"In Durban, Buhari Says Nigeria’s Economy Now Restructured from Oil Dependence to Multiple Revenue Sources",Nigeria’s President Muhammadu Buhari has said his administration has transformed the nation's economy from being solely dependent on oil revenue,business
Israeli Footballer Signs for Dubai Club,"In what is seen as a historic move, a club in a Gulf country has for the first time signed",sports
"300,000 Children Infected with HIV in 2020","UNICEF has revealed that at least 300,000 children were newly infected with HIV in 2020, which translates to one child",health
#EndSARS: Napoli’s Osimhen Celebrates First Serie A Goal with ‘End Police Brutality’ Shirt,Nigerian striker  Victor Osimhen has joined thousands of compatriots in calling for an end to police brutality in the country,sports
Disney Honours Chadwick Boseman With Updated ‘Black Panther’ Opening Credits,Disney Plus has updated the Marvel logo introduction to ‘Black Panther’ in honor of what would have been Chadwick Boseman’s 44th birthday. The company,entertainment
Edo State Threatens to End Nigeria’s Sports Festival on Thursday Due to Lack of Funds,The ongoing 20th National Sports Festival in Benin City may be halted abruptly on Thursday unless the Federal Government intervenes,sports
Jeremih Released From Hospital After Undergoing Covid-19 Treatment,Rapper and singer Jeremih has been released from the hospital after undergoing treatment for COVID-19. Jeremih was discharged from Northwestern,entertainment
Pope’s Personal Doctor Dies from Coronavirus ‘Complications’,"Pope Francis' personal doctor has died from Covid complications aged 78. Fabrizio Soccorsi, who was chosen as the pontiff's personal",health
Bitcoin Value Drops by 50% Since November Peak,"The value of Bitcoin continued to fall over the weekend as it dropped below $34,000 (£27,630), according to the Coinbase",tech
"Laycon, Nengi Favourites ahead of Big Brother Lockdown Finale",The final five housemates in the Big Brother Naija Lockdown will know their fate on Sunday when voters decide who,entertainment
"‘Our Movement Has Only Just Begun’, Trump Says After Acquittal in Impeachment Trial","Former US president Donald Trump has welcomed his acquittal in a second impeachment trial, saying his political movement “to Make",politics
"CHAN 2021: DR Congo, Cameroon Clash in Q-final Saturday","The Japoma Stadium in Douala, the Cameroon capital will host the biggest game of the quarter-finals in the 2021 African",sports
Oyo State Gets New Deputy Governor Lawal after Assembly Removes Olaniyan,Lawal was the Chairman Oyo State Housing Corporation and is the running mate of Governor Seyi Makinde for the 2023,politics
Lawan: Yobe APC Senatorial Candidate Machina Goes Into Hiding for Fear of Harm,"The senatorial candidate of All Progressives Congress (APC) in Yobe North, Hon. Bashir Machina has gone into hiding to safe",politics
"Nigeria: PDP Governors Delusional, Presidency Says","The Presidency, Sunday night, lambasted the 13 opposition Peoples Democratic Party (PDP) governors over their position a fortnight ago that",politics
"Eternal Rivals: England and Germany Battle for Quarterfinal Ticket in Front of 40,000 Wembley Fans",England will attempt to beat Germany in a major tournament knockout game for the first time since the 1966 World,sports
"Man United vs AC Milan, Arsenal vs Olympiacos, Tottenham vs Dinamo Zagreb: See Full Europa League Draw",Manchester United will face Serie A giants AC Milan in the pick of the Europa League last-16 ties next month.,sports
Buhari: Desperate Politicians Problem of Nigeria’s Electoral Process,"Nigeria's President Muhammadu Buhari is blaming desperate politicians for the problems witnessed in the country's electoral process, stating he is",politics
Former FIFA President Sepp Blatter Gets New Six-year Football Ban Over Bonus Payments,"Sepp Blatter, a former President of world's football governing body FIFA, has been handed a new six-year ban from football",sports
"Pfizer, AstraZeneca Effective Against Virus Strain Found in India",The Pfizer-BioNTech and Oxford-AstraZeneca vaccines have been found to be highly effective against the coronavirus variant that was first identified,health
"Nigeria: Aviation Fuel May Rise to N1000 Per Litre, Imports Rose By 287% to N293bn in 3 Months","Nigeria's National Bureau of Statistics (NBS) has disclosed that Nigeria spent N292.56 billion on the importation of aviation fuel, known",business
Guardiola Leads Calls to Allow Five Substitutes in Premier League,Manchester City boss Pep Guardiola says the Premier League should allow five substitutes per match again because of a rise,sports
Biden’s Son Facing Federal Investigation Over ‘Tax Affairs’,"President-elect Joe Biden’s son Hunter has said his “tax affairs” are under federal investigation, putting a renewed spotlight on the",politics
Nigeria: NDLEA Asks Political Parties to Make Drug Test Part of Screening for Aspirants,"Chairman/Chief Executive of the National Drug Law Enforcement Agency, NDLEA, Brig. Gen. Buba Marwa (Retd) has advised political parties to",health
BUA Advocates Liberalisation of Cement Policy to Crash Price,"The Chairman and Founder of the BUA Group, Alhaji Abdulsamad Rabiu, has called for the liberalisation of Nigeria’s cement policy",business
Nigeria: Former Bank PHB MD Atuche Jailed 12 Years For $63m Fraud,"A Nigerian court has sentenced Francis Atuche, a former Managing Director of the defunct Bank PHB (now Keystone Bank), to six",business
Dangote Calls for Single-Digit Tax Regime to Encourage Investments in Nigeria’s Petroleum Sector,"Africa's richest man and President of the Dangote Group, Alhaji Aliko Dangote has advised Nigeria's federal government to introduce a",business
Man United Reach Europa League Semi-finals as Edinson Cavani Goal Downs Granada,Manchester United eased into the Europa League semi-finals on Thursday as Edinson Cavani helped secure a 2-0 win on the,sports
Watford Promoted to Premier League,Watford have been promoted to the Premier League after beating Millwall 1-0 at Vicarage Road on Saturday. Watford now joins,sports
Prince William Names Reeddi Capsules of Nigeria Among 15 Finalists for £50m Earthshot Prize,Prince William has just announced 15 Finalists for the inaugural year of the £50 million Earthshot Prize. Created by Prince,tech
"In Line with CBN’s Directive, Nigerian Banks Expose Clients with Suspicious Dollar Transactions",In line with the resolve of the Central Bank of Nigeria (CBN) to halt a regime of arbitrage in the,business
Nigerian Fashion Brand Lagos Space Programme Makes LVMH Prize Semi-final,"Nigerian fashion brand Lagos Space Programme has qualified for the semi-final of the prestigious LVMH Prize. The Lagos-based genderless brand,",entertainment
"Nigeria Airline Operators Deny Fixing Base Fare, Lament Loss of $60m to Bird Strikes, Flight Cancellations","The Airline Operators of Nigeria (AON) has denied fixing base fare for economy flight tickets at N50, 000 as travellers",business
"Nigeria: Ahead of His Declaration for 2023 Presidency, Vice President Osinbajo Meets APC Governors","Ahead of his declaration for presidency in 2023, which is likely expected this week, Vice President Yemi Osinbajo will meet",politics
Pharmacists Commend RxAll for Introducing RxScanner in Nigeria,"Members of the Pharmaceutical Society of Nigeria (PSN) have commended RxAll, a health tech company, for introducing RxScanner into the",health
Nigeria: Manufacturers Back Central Bank’s Ban of FX Sale to BDCs,Members of the Manufacturers Association of Nigeria (MAN) have strongly supported last week’s decision by the Central Bank of Nigeria,business
Aribo Fires Brace in Rangers’ Eight-goal Thrashing of Hamilton,"Super Eagles’ midfielder, Joe Aribo, fired warnings to Sierra Leone on Sunday ahead of their AFCON 2022 qualifier with Nigeria",sports
Newcastle Denied as Cavani Rescues Point for Man United,Edinson Cavani came off the bench to score an equaliser for an out-of-sorts Manchester United and dash Newcastle's hopes of,sports
Elon Musk Surpasses Bill Gates to Become World’s 2nd-richest Person,Elon Musk has overtaken Bill Gates as the world's second-richest person. His net worth is now $128 billion. Musk's wealth,tech
US Charges Proud Boys with Conspiracy in Deadly Capitol Assault,A federal grand jury charged four leaders of the far-right Proud Boys with conspiring to block Congress from certifying US,politics
Dollar Scarcity May Hamper Shell’s Planned Sale of Nigerian Assets,The current challenge of dollar-crunch in Nigeria may hinder plans by Royal Dutch Shell to sell off its onshore and,business
"Buhari to Shettima: I’ll Hand Over to You and Your Boss in 2023, God Willing","In spite of growing concerns over APC’s preference for a Muslim-Muslim ticket, Buhari was optimistic of victory.Read more",politics
"Nigeria: Confusion in Anambra as Uba, Ozigbo Emerge as Candidates in Parallel PDP Governorship Primaries",There was confusion on Saturday in Anambra over the conduct of the governorship primary election of the Peoples Democratic Party,politics
"After 10 Days of Hiccups, Brazil’s Bolsonaro May Need Surgery",Brazilian president’s office says Jair Bolsonaro is suffering from an intestinal blockage and may need emergency surgery. Brazilian President Jair,health
Fidelity Bank Posts $55m Profit in Nine Months,•Disburses N50bn intervention funds Fidelity Bank Plc sustained its impressive financial performance with a strong third quarter results for the,business
"Electoral Act:  Standing Down from Overriding Buhari Was Strategic, Says Senator Umar","Chairman, Senate Committee on Rules and Business, Senator Sadiq Umar, has said the standing down on Senate's proposed veto of",politics
‘Biggest Series Launch’: Squid Game Knocks Bridgerton off Netflix Top Spot,"We all knew it was coming, but now it's official: Squid Game has become Netflix's biggest ever series launch. The",entertainment
S/Eagles Set for Tunisia Friendly after More Covid-19 Tests,The Super Eagles are set for in Tuesday’s friendly against Tunisia at the Jacques Lemans Arena in the Austrian city,sports
"Power Outages: We Have Settled 87% of Your Invoices, Nigeria Tells Generating Companies",Nigeria's federal government said on Thursday that it had settled the power Generation Companies (Gencos) to the tune of approximately,business
NAFDAC Rejects Iwu’s Claims Over Detox Tea Covid Cure,The National Agency for Food and Drug Administration and Control (NAFDAC) has denied the claims of efficacy of IHP Detox,health
EU to Build Vaccine Manufacturing Hubs in Africa,The European Union (EU) says it intends to invest 1 billion euros ($1.2billion) to build Covid vaccine-manufacturing hubs in Africa.,health
"With Almost 700,000 Daily Under-Production, Nigeria and Angola Account for Half of OPEC’s Oil Supply Gap",Almost half the shortfall in planned oil supply by the Organisation of Petroleum Exporting Countries (OPEC) and its allies is,business
Access Bank Targets Eight More African Countries in Expansion Drive,Access Bank Plc has unfolded plans to expand to eight more African countries as part of a strategy to support,business
"After 11 Major Titles, Sergio Ramos Announces Real Madrid Departure","Real Madrid have confirmed that club legend Sergio Ramos is leaving the club. Madrid announced it on their official website,",sports
"Again, Crude Oil Production by OPEC, Allies Falls by 890,000 bpd","Despite the decision of the Organisation of Petroleum Exporting Countries (OPEC) and its allies, OPEC+, to raise crude oil production",business
"Abuja Environment Body Demands $215,000 to Cut Grass at National Stadium, Sports Minister Alleges","Minister of Youth and Sports Development, Sunday Dare, has revealed that the Federal Capital Territory agency in charge of the",sports
"In Victory for Trump, Republicans Block Probe of US Capitol Riot",Republicans in the US Senate on Friday derailed a bipartisan inquiry into the deadly assault on the Capitol by former,politics
Nigeria Blames Drop in Electricity Generation on Shutdown of Critical Gas Plant,Nigeria's federal government on Saturday explained that the drop in electricity generation was a result of the partial shutdown of,business
Nigeria’s Governing APC Holds Ward Congresses Saturday,"Rattled by last Wednesday’s minority judgement of the Supreme Court on the Ondo State governorship election, which punched holes in",politics
Nigeria: Parliament Pressures Buhari to Sign Act that Changes Rules in Middle of Electoral Process,Members of the National Assembly have started mounting pressure on President Muhammadu Buhari to assent to the amended Section 84,politics
Apple to Scan iPhones for Child Sex Abuse Images,Apple has announced details of a system to find child sexual abuse material (CSAM) on US customers' devices. Before an,tech
"Nigeria: NNPC Names MRS, Oando, Duke Oil as Culprits in Importation of Dirty Fuel, MRS Blames NNPC",The Nigerian National Company Limited (NNPC) on Wednesday stated that its investigation has revealed the presence of Methanol in four,business
Macron Beats Le Pen to Win Second Term as French President,"Emmanuel Macron is heading for victory over far-right leader Marine Le Pen in the French presidential election on a pro-business,",politics
"IMF Backs CBN, Cautions against Cryptocurrency Transactions","The International Monetary Fund (IMF) has cautioned against transacting in cryptocurrency, saying regulating the digital currency remains a concern not",business
"Deregulation Will Continue to Sink Nigeria’s Economy, Petroleum Engineer Zakka Says","Nigeria's economy will continue to sink as long as the country continues to practice deregulation, and that is according to",business
"APC Chair Adamu Meets Senators, Worried By Gale of Defections","National Chairman of the All Progressives Congress (APC), Senator Abdullahi Adamu, met with senators elected on the platform of the",politics
"Japan Startup Targets Supercar Users with $700,000 Hoverbike",A Japanese startup backed by soccer player Keisuke Honda hopes to persuade wealthy consumers to swap their supercar for a,business
WHO Chief Warns of ‘Moral Failure’ in Covid Vaccine Access to Poor Countries,"The head of the World Health Organization has criticised drugmakers’ profits and vaccine inequalities, saying it’s “not right” that younger,",health
"Asian Shares Hit All-time Highs, Oil Rises on Middle East Tensions",Asian shares advanced to record highs on Monday as successful coronavirus vaccine rollouts globally raise hopes of a rapid economic,business
‘Umbrella Academy’ Star Elliot Page Comes Out as Transgender,"Oscar-nominated actor Elliot Page, the star of ‘Juno,’ ‘Inception’ and ‘The Umbrella Academy,’ has come out as transgender. ""I love",entertainment
"Argentina, Chile, Uruguay and Paraguay Launch Joint Bid To Host 2030 World Cup",The South American nations want to bring the quadrennial tournament ‘home’ as Uruguay hosted and won the first edition in,sports
South Korea’s Antitrust Regulator To Fine Google $177m Over Improper Mobile Market Dominance,"South Korea’s competition regulator has vowed to fine Google the U.S. tech giant, $176.9 million (207.4b Korean won) for allegedly",tech
